restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Tanghou Keyixing Tea Banquet,Zhengzhou,34.764738,113.684978,93.0,Tea House;Tea House|购物相关场所;购物相关场所,09:30,23:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.3
Sofitel International Hotel (Yueweixian Chinese Restaurant),Zhengzhou,34.761932,113.692486,204.0,Chinese Restaurant;Chinese Restaurant,17:30,22:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.1
Zhengzhou Zhongzhou Holiday Inn Express Restaurant,Zhengzhou,34.762887,113.692533,100.0,Cafe;Cafe,11:00,21:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.1
Zhengzhou Sofitel International Hotel · Dome Western Restaurant,Zhengzhou,34.761863,113.692708,237.0,Foreign Restaurant;Western Restaurant,11:00,21:30,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.2
Starlight Restaurant,Zhengzhou,34.764980,113.691112,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,2.6
Zijing Mountain Hotel - Restaurant,Zhengzhou,34.764942,113.691889,100.0,Chinese Restaurant;Chinese Restaurant,07:00,20:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.0
Fang Zhongshan Spicy Soup (Flagship Store),Zhengzhou,34.760065,113.682462,15.0,Chinese Restaurant;Halal Restaurant,05:00,13:30,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.5
Hongyuan Restaurant,Zhengzhou,34.761674,113.693653,100.0,Chinese Restaurant;Cantonese Cuisine,17:30,21:30,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,3.9
Haiyu Gourmet Seafood Restaurant,Zhengzhou,34.769787,113.726419,39.0,Chinese Restaurant;Seafood Restaurant,17:00,23:00,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,3.8
Zhengzhou Greenland JW Marriott Hotel (Marriott Chinese Restaurant),Zhengzhou,34.770905,113.727350,300.0,Chinese Restaurant;Chinese Restaurant,17:30,22:30,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,4.5
Qianxi Cloud Restaurant (Qianxi Plaza Branch),Zhengzhou,34.771075,113.727225,165.0,Chinese Restaurant;Chinese Restaurant,09:00,01:00,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,4.5
Zhengzhou Big Corn G PLUS Skyview Restaurant,Zhengzhou,34.770914,113.727493,228.0,Chinese Restaurant;General Restaurant,16:00,05:00,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,4.2
Zhengzhou Greenland JW Marriott Hotel · Urban Kitchen Buffet Restaurant,Zhengzhou,34.771054,113.727309,280.0,Foreign Restaurant;Western Restaurant,17:30,21:30,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,4.3
Zui Baxian Grilled Fish (Qianxi Plaza Branch),Zhengzhou,34.770902,113.727580,62.0,Food Service Related;Food Service Related,10:00,24:00,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,4.2
Yu Jian Tea Restaurant (Xin'ao Building Branch),Zhengzhou,34.767928,113.723581,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,4.1
Xinhose (Freshly Cooked Restaurant),Zhengzhou,34.767451,113.723530,100.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,3.9
Jinyue Tea Restaurant (Henan Media Building Branch),Zhengzhou,34.767405,113.722783,76.0,Chinese Restaurant;Seafood Restaurant,17:00,02:00,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,4.2
Two Birds One Stone · Yishi Erniao (Muse Branch),Zhengzhou,34.767030,113.730428,95.0,Food Service Related;Food Service Related,10:00,21:00,Qianxi Square (Big Corn),"113.726322,34.769955",34.769955,113.726322,4.6
Han Feng Yuan BBQ and Hotpot Buffet Restaurant (Asia Joy City Branch),Zhengzhou,34.751785,113.667704,80.0,Chinese Restaurant;Chinese Restaurant,11:00,23:30,Erqi Square,"113.666451,34.751860",34.751860,113.666451,4.7
Yuehai Hotel Xuan Palace Western Restaurant (Erqi Square),Zhengzhou,34.749629,113.667658,111.0,Foreign Restaurant;Western Restaurant,10:00,23:00,Erqi Square,"113.666451,34.751860",34.751860,113.666451,3.9
Yuehai Hotel - Yuehai Pavilion Chinese Restaurant,Zhengzhou,34.749142,113.667796,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Erqi Square,"113.666451,34.751860",34.751860,113.666451,3.9
Huya Fried Chicken (Henan Zhengzhou Erqi Mixc City Branch),Zhengzhou,34.754815,113.662798,55.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Erqi Square,"113.666451,34.751860",34.751860,113.666451,4.6
Jixu Folk Ballad Barbecue House (Zhengzhou Guangcai Branch),Zhengzhou,34.755287,113.669676,72.0,Chinese Restaurant;Chinese Restaurant,18:00,02:30,Erqi Square,"113.666451,34.751860",34.751860,113.666451,4.6
Green Tea Restaurant (Zhengzhou MixC Branch),Zhengzhou,34.754667,113.662403,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Erqi Square,"113.666451,34.751860",34.751860,113.666451,4.6
Zhengzhou Zhengbai Restaurant (Zhengzhou Department Store Branch),Zhengzhou,34.756286,113.668080,100.0,Chinese Restaurant;Chinese Restaurant,09:30,21:00,Erqi Square,"113.666451,34.751860",34.751860,113.666451,3.9
Datong Hotel Restaurant,Zhengzhou,34.747498,113.663838,31.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Erqi Square,"113.666451,34.751860",34.751860,113.666451,3.8
Route 5 Restaurant Stone-Grilled Steak (David City Branch),Zhengzhou,34.756777,113.666316,128.0,Fast Food Restaurant;Fast Food Restaurant,11:00,22:00,Erqi Square,"113.666451,34.751860",34.751860,113.666451,4.7
Jiang Aqiao Tarta Noodles (Great Shanghai Branch),Zhengzhou,34.755928,113.670393,100.0,Chinese Restaurant;Chinese Restaurant,10:30,21:30,Zhengzhou Shang Dynasty Ruins,"113.671988,34.755497",34.755497,113.671988,4.5
Henan University of Chinese Medicine First Affiliated Hospital People's Road Campus Restaurant,Zhengzhou,34.758033,113.673949,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Shang Dynasty Ruins,"113.671988,34.755497",34.755497,113.671988,3.7
Alley Community Canteen · Mama's Restaurant,Zhengzhou,34.752730,113.674692,100.0,Chinese Restaurant;Chinese Restaurant,17:00,20:30,Zhengzhou Shang Dynasty Ruins,"113.671988,34.755497",34.755497,113.671988,4.2
Heji (Old Street Snack Street Branch),Zhengzhou,34.758132,113.675030,100.0,Chinese Restaurant;Halal Restaurant,10:30,22:00,Zhengzhou Shang Dynasty Ruins,"113.671988,34.755497",34.755497,113.671988,4.4
Mi Pi Ji Halal Restaurant (West Street Branch),Zhengzhou,34.751298,113.673507,11.0,Chinese Restaurant;Halal Restaurant,10:00,22:00,Zhengzhou Shang Dynasty Ruins,"113.671988,34.755497",34.755497,113.671988,4.3
Manyu (Dennis David Plaza Branch),Zhengzhou,34.756848,113.666241,90.0,服装鞋帽皮具店;服装鞋帽皮具店,11:00,21:00,Zhengzhou Shang Dynasty Ruins,"113.671988,34.755497",34.755497,113.671988,4.7
Chinese Cuisine Fast Food Restaurant,Zhengzhou,34.759118,113.676308,20.0,Fast Food Restaurant;Fast Food Restaurant,07:00,20:00,Zhengzhou Shang Dynasty Ruins,"113.671988,34.755497",34.755497,113.671988,3.7
Luoshan Fisherman's Delight Restaurant,Zhengzhou,34.903556,113.670261,63.0,Chinese Restaurant;Chinese Restaurant,10:00,23:00,Huanghe Huayuankou Tourist Area,"113.676636,34.903629",34.903629,113.676636,4.3
Wangwang Small Restaurant,Zhengzhou,34.901524,113.668069,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Huanghe Huayuankou Tourist Area,"113.676636,34.903629",34.903629,113.676636,2.4
Lounge Restaurant,Zhengzhou,34.754747,113.783314,100.0,Chinese Restaurant;General Restaurant,10:00,22:00,Zhengzhou East Station,"113.779558,34.759081",34.759081,113.779558,3.7
Zhengzhou Hesung Eastin Easy Hotel · Xindi Restaurant (Greenland Colorful City Branch),Zhengzhou,34.761864,113.772727,125.0,Chinese Restaurant;Chinese Restaurant,06:30,24:00,Zhengzhou East Station,"113.779558,34.759081",34.759081,113.779558,4.1
Lanting Xu Tea Restaurant,Zhengzhou,34.753801,113.774832,100.0,Fast Food Restaurant;Fast Food Restaurant,09:00,22:00,Zhengzhou East Station,"113.779558,34.759081",34.759081,113.779558,4.5
Huangjuewei Convenient Restaurant (Rongan Shijia Branch),Zhengzhou,29.860538,121.536445,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Ningbo Station,"121.536631,29.861949",29.861949,121.536631,1.9
Fish Comes and Goes Restaurant,Zhengzhou,29.862175,121.539025,22.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Ningbo Station,"121.536631,29.861949",29.861949,121.536631,3.9
Fubon Grand Hotel - Week Eight Western Restaurant,Zhengzhou,29.863910,121.538790,223.0,Food Service Related;Food Service Related,17:00,20:30,Ningbo Station,"121.536631,29.861949",29.861949,121.536631,4.0
Little Domi Korean Restaurant,Zhengzhou,29.864725,121.537875,54.0,Foreign Restaurant;韩国料理,09:30,22:00,Ningbo Station,"121.536631,29.861949",29.861949,121.536631,4.5
Mingyi Restaurant (Mayuanfang Business Building Branch),Zhengzhou,29.864964,121.537985,100.0,Chinese Restaurant;Chinese Restaurant,09:15,22:30,Ningbo Station,"121.536631,29.861949",29.861949,121.536631,3.8
Axiang Rice Noodles (Zhengzhou Erqi Shanshan Outlet Restaurant),Zhengzhou,34.526573,113.855171,31.0,Chinese Restaurant;Local Specialty Restaurant,06:00,22:00,Xinzheng International Airport,"113.856808,34.528476",34.528476,113.856808,3.7
Zhengzhou Airport Grand Hotel Chinese Restaurant,Zhengzhou,34.528534,113.843450,70.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,Xinzheng International Airport,"113.856808,34.528476",34.528476,113.856808,4.1
Guangdong Restaurant (Erma Road),Zhengzhou,34.749825,113.660012,100.0,Chinese Restaurant;Cantonese Cuisine,11:00,21:00,Zhengzhou Station,"113.658097,34.745795",34.745795,113.658097,3.7
Nutrition and Health Restaurant,Zhengzhou,34.744171,113.652484,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Station,"113.658097,34.745795",34.745795,113.658097,3.5
People Come and Go Gourmet Restaurant,Zhengzhou,29.825749,121.476645,100.0,Chinese Restaurant;Chinese Restaurant,08:00,20:00,Lishe International Airport,"121.466363,29.821287",29.821287,121.466363,4.1
Shiyi Hotel · Seafood Restaurant,Zhengzhou,29.830943,121.471005,100.0,Chinese Restaurant;Seafood Restaurant,10:00,20:30,Lishe International Airport,"121.466363,29.821287",29.821287,121.466363,4.1
Senkai Restaurant,Zhengzhou,29.823596,121.485451,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Lishe International Airport,"121.466363,29.821287",29.821287,121.466363,3.6
Zhengzhou Airport Economic Zone Hongyin Themed Dining Bar,Zhengzhou,34.530293,113.823391,100.0,Chinese Restaurant;Chinese Restaurant,17:00,04:00,Home Inn Plus - Zhengzhou Xinzheng International Airport Rezen Hotel,"113.827800,34.532732",34.532732,113.827800,3.5
Yunduo Xuan Restaurant (Financial Plaza Branch),Zhengzhou,34.537244,113.826908,168.0,Food Service Related;Food Service Related,10:00,22:00,Home Inn Plus - Zhengzhou Xinzheng International Airport Rezen Hotel,"113.827800,34.532732",34.532732,113.827800,4.1
Fang Zhongshan Spicy Soup (Gang District First Branch),Zhengzhou,34.537354,113.833042,14.0,Chinese Restaurant;Halal Restaurant,05:30,13:00,Home Inn Plus - Zhengzhou Xinzheng International Airport Rezen Hotel,"113.827800,34.532732",34.532732,113.827800,4.5
Qiyu Cantonese Tea Restaurant,Zhengzhou,34.540161,113.830394,25.0,Cafe;Cafe|糕饼店;糕饼店,07:00,24:00,Home Inn Plus - Zhengzhou Xinzheng International Airport Rezen Hotel,"113.827800,34.532732",34.532732,113.827800,4.1
Yaser Lakeside Restaurant,Zhengzhou,34.775577,113.858407,90.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Yaser International Hotel (Provincial Science and Technology Museum Xianghu Branch),"113.858697,34.775698",34.775698,113.858697,3.9
Water Margin Barbecue (Yongshun Road Branch),Zhengzhou,34.773371,113.856956,57.0,Chinese Restaurant;Local Specialty Restaurant,10:00,02:00,Zhengzhou Yaser International Hotel (Provincial Science and Technology Museum Xianghu Branch),"113.858697,34.775698",34.775698,113.858697,4.5
Boundless Future Creative Fusion Restaurant,Zhengzhou,34.773400,113.854577,48.0,Food Service Related;Food Service Related,09:30,22:00,Zhengzhou Yaser International Hotel (Provincial Science and Technology Museum Xianghu Branch),"113.858697,34.775698",34.775698,113.858697,4.3
Bengbeng Music Restaurant,Zhengzhou,34.369146,113.919410,100.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Yunman Hotel (Zhengzhou Port Area BYD Factory Branch),"113.919851,34.368782",34.368782,113.919851,3.6
New Family (Zhengzhou Aviation Port District) Themed Dining Restaurant (Individual Business),Zhengzhou,34.365406,113.918814,100.0,Chinese Restaurant;Chinese Restaurant,08:00,22:00,Yunman Hotel (Zhengzhou Port Area BYD Factory Branch),"113.919851,34.368782",34.368782,113.919851,3.8
Youjinsheng Jewelry Tea Restaurant (Weiye Xianghu Garden Branch),Zhengzhou,34.769988,113.864010,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Hanting Zhengzhou Xianghu Science and Technology Museum Hotel,"113.863000,34.763200",34.763200,113.863000,3.7
Xinwaku Tea Restaurant (Weiye Xianghu Garden Branch),Zhengzhou,34.769990,113.864126,100.0,Fast Food Restaurant;Tea Restaurant,11:00,21:00,Hanting Zhengzhou Xianghu Science and Technology Museum Hotel,"113.863000,34.763200",34.763200,113.863000,3.5
Taste of Shrimp Small Restaurant,Zhengzhou,34.759727,113.853131,100.0,Chinese Restaurant;Chinese Restaurant,10:00,23:00,Hanting Zhengzhou Xianghu Science and Technology Museum Hotel,"113.863000,34.763200",34.763200,113.863000,3.7
Liuyuan Leisure Tea and Food,Zhengzhou,34.802265,113.740183,100.0,Tea House;Tea House,09:00,21:30,Atour Hotel Zhengzhou Beilonghu Financial Center Financial Island,"113.740044,34.801804",34.801804,113.740044,4.3
Wuwei Academy · Laozi Cultural Tea Dining Space,Zhengzhou,34.800876,113.734358,459.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Atour Hotel Zhengzhou Beilonghu Financial Center Financial Island,"113.740044,34.801804",34.801804,113.740044,4.0
Jilu Restaurant (Kailin Building Branch),Zhengzhou,34.802746,113.733842,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Atour Hotel Zhengzhou Beilonghu Financial Center Financial Island,"113.740044,34.801804",34.801804,113.740044,4.1
Old Mo's Juicy Small Seafood,Zhengzhou,34.723986,113.716121,100.0,Chinese Restaurant;Seafood Restaurant,11:00,21:00,Hanting Zhengzhou Hanghai East Road Hotel,"113.718570,34.725246",34.725246,113.718570,3.6
North Point Xiuwai Hong Kong-Style Tea Restaurant (Longtang Vanke Plaza Branch),Zhengzhou,34.722045,113.718822,57.0,Fast Food Restaurant;Tea Restaurant,11:00,22:00,Hanting Zhengzhou Hanghai East Road Hotel,"113.718570,34.725246",34.725246,113.718570,4.3
DBe's Russian BBQ Western Restaurant (Futian New World Branch),Zhengzhou,34.721373,113.712549,98.0,Foreign Restaurant;Foreign Restaurant,11:00,14:30,Hanting Zhengzhou Hanghai East Road Hotel,"113.718570,34.725246",34.725246,113.718570,4.7
Rongyu Restaurant,Zhengzhou,34.754245,113.770035,100.0,Chinese Restaurant;Chinese Restaurant,10:00,21:30,Zhengzhou Huiyi Courtyard Hotel,"113.770139,34.753708",34.753708,113.770139,3.6
Soonsoo Fried Chicken Cuisine,Zhengzhou,34.754378,113.771221,91.0,Fast Food Restaurant;Fast Food Restaurant,10:00,22:00,Zhengzhou Huiyi Courtyard Hotel,"113.770139,34.753708",34.753708,113.770139,4.7
Thirty-Three Flavors Restaurant,Zhengzhou,34.752661,113.769800,81.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Huiyi Courtyard Hotel,"113.770139,34.753708",34.753708,113.770139,4.6
Hecha,Zhengzhou,34.612306,113.736545,100.0,Tea House;Tea House,10:00,22:00,Kunlun Leju Select Hotel (Zhengzhou South City Jinyi City Branch),"113.733835,34.613066",34.613066,113.733835,3.5
Qingtang Buffet Restaurant (South China City Branch),Zhengzhou,34.609475,113.732425,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Kunlun Leju Select Hotel (Zhengzhou South City Jinyi City Branch),"113.733835,34.613066",34.613066,113.733835,4.5
Han Fengyuan BBQ and Hotpot Buffet Restaurant (Longhu Jinyi City Direct Branch),Zhengzhou,34.613777,113.726277,66.0,Food Service Related;Food Service Related,11:00,22:30,Kunlun Leju Select Hotel (Zhengzhou South City Jinyi City Branch),"113.733835,34.613066",34.613066,113.733835,4.3
Houzhai Tea Restaurant (New Dongyi SPACE Branch),Zhengzhou,34.779601,113.699724,114.0,Fast Food Restaurant;Tea Restaurant,10:00,22:00,Orange Hotel Zhengzhou Zhengdong New District Convention and Exhibition Center Branch,"113.702020,34.779780",34.779780,113.702020,4.5
Hu Lamb Chop · Shrimp Hot Pot · Nutrition Restaurant (Hongqi Road),Zhengzhou,34.777006,113.702984,37.0,Chinese Restaurant;Hot Pot,10:30,22:00,Orange Hotel Zhengzhou Zhengdong New District Convention and Exhibition Center Branch,"113.702020,34.779780",34.779780,113.702020,4.5
Mipi Ji Halal Restaurant (Yaozhai Road Branch),Zhengzhou,34.776594,113.704493,11.0,Chinese Restaurant;Halal Restaurant,10:00,21:00,Orange Hotel Zhengzhou Zhengdong New District Convention and Exhibition Center Branch,"113.702020,34.779780",34.779780,113.702020,4.2
Yuanwei Fusion Tea Restaurant,Zhengzhou,34.778131,113.706295,180.0,Fast Food Restaurant;Fast Food Restaurant,16:00,22:30,Orange Hotel Zhengzhou Zhengdong New District Convention and Exhibition Center Branch,"113.702020,34.779780",34.779780,113.702020,4.0
Super Deer Squad Fitness and Weight Loss Restaurant (Jincheng Times Square Branch),Zhengzhou,34.777542,113.706140,24.0,Food Service Related;Food Service Related,08:00,21:00,Orange Hotel Zhengzhou Zhengdong New District Convention and Exhibition Center Branch,"113.702020,34.779780",34.779780,113.702020,3.9
Creekside Tea Restaurant,Zhengzhou,34.781870,113.687685,100.0,Fast Food Restaurant;Fast Food Restaurant,12:00,24:00,Zhengzhou Jinshen Zhongzhou Yihe Hotel,"113.686953,34.781424",34.781424,113.686953,3.7
Kaka Light Food Restaurant,Zhengzhou,34.780128,113.685970,100.0,Food Service Related;Food Service Related,09:00,20:00,Zhengzhou Jinshen Zhongzhou Yihe Hotel,"113.686953,34.781424",34.781424,113.686953,4.0
Hailan Restaurant,Zhengzhou,34.781419,113.684659,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Jinshen Zhongzhou Yihe Hotel,"113.686953,34.781424",34.781424,113.686953,3.7
Henan Yellow River Guesthouse Chinese Restaurant,Zhengzhou,34.872199,113.648259,100.0,Foreign Restaurant;Western Restaurant,11:00,21:00,Henan Yellow River Guesthouse,"113.648540,34.872278",34.872278,113.648540,3.2
Aoli Family Restaurant,Zhengzhou,34.869788,113.636415,16.0,Chinese Restaurant;Chinese Restaurant,11:00,21:30,Henan Yellow River Guesthouse,"113.648540,34.872278",34.872278,113.648540,4.2
Haokelai Steak (Zhengzhou Huiji Wanda Restaurant),Zhengzhou,34.868938,113.636045,68.0,Foreign Restaurant;Western Restaurant,10:00,22:00,Henan Yellow River Guesthouse,"113.648540,34.872278",34.872278,113.648540,4.6
Shisui Hotpot Restaurant (Future Road Branch),Zhengzhou,34.771161,113.707663,100.0,Chinese Restaurant;Hot Pot,09:30,24:00,Ji Hotel Zhengzhou Convention and Exhibition Center Future Road Branch,"113.707000,34.772300",34.772300,113.707000,4.6
Meilun Chinese Restaurant (Future Road Branch),Zhengzhou,34.773957,113.708770,43.0,Food Service Related;Food Service Related,11:00,21:00,Ji Hotel Zhengzhou Convention and Exhibition Center Future Road Branch,"113.707000,34.772300",34.772300,113.707000,4.0
Futures Restaurant (Future Building Branch),Zhengzhou,34.769968,113.708708,100.0,Chinese Restaurant;Chinese Restaurant,17:30,21:30,Ji Hotel Zhengzhou Convention and Exhibition Center Future Road Branch,"113.707000,34.772300",34.772300,113.707000,4.3
Future Grand Hotel · Golden Future Restaurant,Zhengzhou,34.769025,113.707177,162.0,Chinese Restaurant;Chinese Restaurant,18:00,21:00,Ji Hotel Zhengzhou Convention and Exhibition Center Future Road Branch,"113.707000,34.772300",34.772300,113.707000,4.2
