restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Old Wang's Ancient City Restaurant,Chengdu,30.997217,103.616294,42.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,3.7
Royal Feast Palace Medicinal Cuisine Restaurant,Chengdu,30.677223,104.009786,116.0,Chinese Restaurant;Chinese Restaurant,09:30,21:30,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,3.8
Luo Yishou Milk Soup Noodles (Main Store),Chengdu,30.677073,104.010115,25.0,Chinese Restaurant;Chinese Restaurant,08:00,05:00,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.3
Yimin Restaurant (Yimin Courtyard Branch),Chengdu,30.684930,104.017781,33.0,Chinese Restaurant;Chinese Restaurant,08:00,21:30,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.3
Shuzhong Old Flavor Specialty Ingredients Restaurant,Chengdu,30.677847,104.008121,47.0,Chinese Restaurant;Sichuan Cuisine,11:00,21:00,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.6
Xintonghui Tianfu Dianwei Restaurant,Chengdu,30.679562,104.019348,62.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.5
Shu Jiu Xiang Hot Pot (Jinsha Branch),Chengdu,30.679918,104.003832,94.0,Chinese Restaurant;Hot Pot,10:00,23:30,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.6
Qiaoyue Zhen Tea Restaurant,Chengdu,30.675309,104.006288,36.0,Fast Food Restaurant;Fast Food Restaurant,10:00,22:00,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.0
Yu Fu Garden · Siam Kitchen,Chengdu,30.683235,104.022458,33.0,Foreign Restaurant;Foreign Restaurant,10:00,22:00,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.5
Affordable Restaurant (Zhanqi East Road No. 6 Courtyard Branch),Chengdu,30.674507,104.019895,36.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.6
Yi Yang Sashimi · Fine Cuisine (Jianshe Road Branch),Chengdu,30.670977,104.103082,80.0,Foreign Restaurant;Japanese Cuisine,17:00,22:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.5
Zhang's Wooden Barrel Fish Boutique Restaurant on Jianshe Road (Jianshe Alley Branch),Chengdu,30.669366,104.103257,70.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.3
Dicos Construction Road Restaurant,Chengdu,30.669363,104.103266,21.0,Fast Food Restaurant;Fast Food Restaurant,09:00,23:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.4
Xiaodou Haitang (Jianshe Road Branch),Chengdu,30.670951,104.105327,100.0,Chinese Restaurant;Chinese Restaurant,10:30,21:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.7
Beef Feast Sukiyaki (Jianshe Road Branch),Chengdu,30.668741,104.101897,117.0,Foreign Restaurant;Japanese Cuisine,10:30,23:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.7
"Yanzhiwei Spicy Hotpot (Jianshe Road No. 43, District 82, Area 2 Old Branch)",Chengdu,30.668344,104.102354,60.0,Chinese Restaurant;Chinese Restaurant,16:30,20:30,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.2
Xiu Ji Bald Crab (Jianshe Road Flagship Branch),Chengdu,30.671538,104.099031,73.0,Food Service Related;Food Service Related,11:00,24:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.7
Ginkgo Garden Restaurant,Chengdu,30.673016,104.098345,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.1
Ning Ji · Handcrafted Lemon Tea (Impression City B1 Branch),Chengdu,30.674231,104.106859,100.0,Fast Food Restaurant;Tea Restaurant,09:30,22:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,3.7
Manye Southeast Asian Fusion Restaurant (Construction Road Branch),Chengdu,30.674023,104.107079,60.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Jianshe Road Snack Street,"104.102739,30.671442",30.671442,104.102739,4.4
Zhong Dumplings (People's Park Branch),Chengdu,30.656754,104.059012,40.0,Chinese Restaurant;Local Specialty Restaurant,08:00,20:00,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,4.4
Yi Laoma Pig Trotter Main Store (Dongchenggen Branch),Chengdu,30.657032,104.060546,36.0,Chinese Restaurant;Sichuan Cuisine,08:00,21:00,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,4.2
Ding Tai Po Authentic Old Brand Mom's Trotter Shop (Dongchenggen South Street Branch),Chengdu,30.656958,104.060634,29.0,Chinese Restaurant;Sichuan Cuisine,11:00,21:00,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,4.4
Home Inn Business Hotel (Chengdu People's Park Metro Station Tianfu Square Branch) · Restaurant,Chengdu,30.658649,104.059212,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,3.9
Happy Family Restaurant,Chengdu,30.655140,104.057305,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,3.5
Chicken Feather Shop (People's Park Branch),Chengdu,30.659150,104.060393,75.0,Chinese Restaurant;General Restaurant,11:00,21:30,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,4.7
Ronghe Territory Hui Creative Restaurant (Great Wall Garden Branch),Chengdu,30.657078,104.054256,98.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,4.1
Bafang Restaurant,Chengdu,30.659877,104.062021,45.0,Chinese Restaurant;Chinese Restaurant,10:30,22:30,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,3.8
Yi Dian Wei Restaurant (Great Wall Garden Branch),Chengdu,30.655064,104.053819,18.0,Fast Food Restaurant;Fast Food Restaurant,10:00,21:00,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,4.2
Hilton Joy City · TC CAFE Yue Rong Sky Restaurant,Chengdu,30.656085,104.064025,250.0,Food Service Related;Food Service Related,06:30,22:00,Heming Teahouse,"104.058603,30.656882",30.656882,104.058603,4.3
Zi Fei (Wide and Narrow Alley Scenic Area Branch),Chengdu,30.663924,104.053720,681.0,Chinese Restaurant;Sichuan Cuisine,17:00,21:00,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,4.5
Holiland (1992),Chengdu,30.663163,104.053746,100.0,糕饼店;糕饼店,09:00,22:00,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,4.8
Chengdu Impression Sichuan Cuisine Restaurant (Narrow Alley Branch),Chengdu,30.663338,104.054079,109.0,Chinese Restaurant;Sichuan Cuisine,11:00,21:30,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,4.3
Xiangji Kitchen 1999 (Kuanzhai Alley Branch),Chengdu,30.663759,104.054408,96.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,4.0
Tingxiang (Kuanzhai Alley Branch),Chengdu,30.663520,104.054902,98.0,Chinese Restaurant;Sichuan Cuisine,11:00,21:00,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,4.5
Diaoyutai Royal Garden State Banquet Chinese Restaurant (Kuanzhai Alley Scenic Area Branch),Chengdu,30.664635,104.051670,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,3.9
Nutrition and Health Restaurant,Chengdu,30.666555,104.052671,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,3.5
Erbao Mansion · Fresh Fish Sichuan Cuisine Restaurant (Kuanzhai Branch),Chengdu,30.667067,104.054643,98.0,Chinese Restaurant;Sichuan Cuisine,16:30,21:00,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,4.5
Chengdu Chike (Kuixinglou Flagship Branch),Chengdu,30.667881,104.055095,60.0,Chinese Restaurant;Sichuan Cuisine,17:00,21:30,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,4.4
Wuli Pass Hotpot (Kuixinglou Branch),Chengdu,30.667604,104.055896,110.0,Chinese Restaurant;Hot Pot,11:00,02:00,Kuanzhai Alley Scenic Area,"104.053307,30.663869",30.663869,104.053307,4.7
Butterfly Quest · Sichuan Banquet (Wuhou Shrine Branch),Chengdu,30.646589,104.055046,450.0,Chinese Restaurant;Sichuan Cuisine,17:00,21:30,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,4.6
Tibetan Secret Lhasa (Shuadu Food Plaza Branch),Chengdu,30.646767,104.056740,94.0,Chinese Restaurant;Chinese Restaurant,15:00,02:00,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,3.7
Halal Mecca Restaurant,Chengdu,30.646431,104.057996,56.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,4.2
Taolin Restaurant (Wuhou Shrine Branch),Chengdu,30.644680,104.058466,83.0,超级市场;超市,11:00,21:00,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,4.7
Armed Police Hospital - Restaurant,Chengdu,30.642444,104.056934,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,2.7
Window View Restaurant (Huijin Apartment Branch),Chengdu,30.641888,104.055322,100.0,Fast Food Restaurant;Fast Food Restaurant,09:00,21:00,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,4.2
Wuhou District Luo Lin Gadzhuocang Tea Restaurant Bar,Chengdu,30.643426,104.058332,100.0,Fast Food Restaurant;Tea Restaurant,11:00,21:00,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,3.9
Caigen Story Sichuan Flavor Kitchen,Chengdu,30.644719,104.059247,68.0,Chinese Restaurant;Sichuan Cuisine,10:00,21:30,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,4.5
Jinli Xiang Restaurant Takeaway,Chengdu,30.649528,104.053294,69.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,3.8
Grandma's Kitchen (Hexi Xiaozhu Branch),Chengdu,30.641445,104.050759,100.0,Chinese Restaurant;西北菜,11:00,21:00,Tongpa Street,"104.055000,30.645000",30.645000,104.055000,4.0
Lin Family Sichuan Cuisine Chunxi Road Flagship Store,Chengdu,30.660523,104.081286,56.0,Chinese Restaurant;Sichuan Cuisine,11:00,22:00,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.4
Pansun Market,Chengdu,30.659712,104.079623,48.0,Chinese Restaurant;Sichuan Cuisine,17:00,21:30,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.5
San Dao Guai Restaurant (Qunyi Building Branch),Chengdu,30.658562,104.081363,40.0,Chinese Restaurant;Sichuan Cuisine,09:30,22:30,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.3
Uncle Sweet Western Restaurant,Chengdu,30.659989,104.078935,97.0,Foreign Restaurant;Western Restaurant,12:00,21:00,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.6
Zhao You · Tea Bistro (Wangfujing),Chengdu,30.658390,104.080001,100.0,Fast Food Restaurant;Fast Food Restaurant,17:00,02:00,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,3.8
Erhui Sky Garden (Chunxi Road Branch),Chengdu,30.658239,104.079047,53.0,体育休闲服务场所;体育休闲服务场所,11:00,21:00,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.7
Chunxi Fang,Chengdu,30.659029,104.078401,36.0,Chinese Restaurant;Chinese Restaurant,10:00,22:30,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.7
Luce Restaurant,Chengdu,30.657451,104.081583,47.0,Fast Food Restaurant;Tea Restaurant,10:00,23:00,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.3
Yan Ge Vegetarian Pepper Noodles,Chengdu,30.662319,104.082671,11.0,Chinese Restaurant;Chinese Restaurant,07:30,19:30,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.4
Cui Niangniang Traditional Hot Pot (Chunxi Road Old Branch),Chengdu,30.661312,104.078075,102.0,Chinese Restaurant;Hot Pot,11:00,01:30,IFS International Finance Center,"104.081000,30.660000",30.660000,104.081000,4.7
Tingzhou Dream Fragrance Chinese Restaurant,Chengdu,30.643241,104.048570,52.0,Chinese Restaurant;Chinese Restaurant,17:00,20:30,Chengdu Wuhou Shrine Museum,"104.050000,30.645000",30.645000,104.050000,4.1
Old House Qingzhu Huaxi Folk Style Restaurant (Wuhou Temple Branch),Chengdu,30.644238,104.045840,100.0,Chinese Restaurant;General Restaurant,17:30,21:00,Chengdu Wuhou Shrine Museum,"104.050000,30.645000",30.645000,104.050000,4.7
Third Restaurant,Chengdu,30.641334,104.050190,60.0,Chinese Restaurant;Chinese Restaurant,15:30,18:30,Chengdu Wuhou Shrine Museum,"104.050000,30.645000",30.645000,104.050000,3.9
Shambhala Tibetan Feast (Wuhou Shrine Hengjie Branch),Chengdu,30.641064,104.047460,61.0,Chinese Restaurant;西北菜,09:30,22:30,Chengdu Wuhou Shrine Museum,"104.050000,30.645000",30.645000,104.050000,4.3
Southwest Minzu University Heheyuan Restaurant,Chengdu,30.640353,104.051448,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Chengdu Wuhou Shrine Museum,"104.050000,30.645000",30.645000,104.050000,4.0
Vegetarian Impression Buffet Restaurant (Shuhan Street Community Branch),Chengdu,30.640688,104.047147,28.0,购物相关场所;购物相关场所,11:00,21:00,Chengdu Wuhou Shrine Museum,"104.050000,30.645000",30.645000,104.050000,4.2
Great Northeast Restaurant (Wuhou Temple Cross Street Branch),Chengdu,30.640652,104.047151,39.0,Chinese Restaurant;东北菜,09:00,21:30,Chengdu Wuhou Shrine Museum,"104.050000,30.645000",30.645000,104.050000,4.4
Eighteen Steps Deng's Noodles (Shuangliu Airport),Chengdu,30.566550,103.954761,36.0,Chinese Restaurant;Chinese Restaurant,05:00,22:00,Xinqiao International Airport,"103.951229,30.559807",30.559807,103.951229,4.1
Airport Express Hotel · Restaurant,Chengdu,30.554132,103.963807,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Xinqiao International Airport,"103.951229,30.559807",30.559807,103.951229,4.0
Food Space Memory (Southwest Minzu University Branch),Chengdu,30.560751,103.967890,17.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Xinqiao International Airport,"103.951229,30.559807",30.559807,103.951229,4.2
Loulan Xinjiang Theme Restaurant (Chengdu CapitaMall Tianfu Branch),Chengdu,30.603137,104.068464,76.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,Chengdu South Station,"104.068469,30.606130",30.606130,104.068469,4.0
Fanda Biao Roasted Goose Tea Restaurant (CapitaLand Tianfu Branch),Chengdu,30.603004,104.068896,56.0,Fast Food Restaurant;Tea Restaurant,10:00,22:00,Chengdu South Station,"104.068469,30.606130",30.606130,104.068469,4.0
Green Tea Restaurant (CapitaMall Tianfu Branch),Chengdu,30.602824,104.068639,72.0,Chinese Restaurant;Chinese Restaurant,10:30,21:30,Chengdu South Station,"104.068469,30.606130",30.606130,104.068469,4.5
Hui Jiuxiang Restaurant,Chengdu,31.883734,117.318492,100.0,Chinese Restaurant;Anhui Cuisine,08:00,20:00,Hefei Station,"117.316937,31.885135",31.885135,117.316937,3.8
Wooden Barrel Stinky Mandarin Fish · Anhui Intangible Cultural Heritage Dish (Train Station Xindi Branch),Chengdu,31.881246,117.318559,73.0,Chinese Restaurant;Chinese Restaurant,16:00,22:00,Hefei Station,"117.316937,31.885135",31.885135,117.316937,4.0
Hefei Southeast Orthopedic Hospital Staff Restaurant,Chengdu,31.881689,117.313260,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hefei Station,"117.316937,31.885135",31.885135,117.316937,3.9
Chengdu Longemont Hotel · Longyue Chinese Restaurant · Banquet Hall,Chengdu,30.629527,104.144253,100.0,Food Service Related;Food Service Related,09:00,21:00,Chengdu East Station,"104.140947,30.628779",30.628779,104.140947,4.2
Jiadeli Hotel Restaurant (West Square Commercial Center Branch),Chengdu,30.628600,104.137373,100.0,Chinese Restaurant;Chinese Restaurant,07:30,19:30,Chengdu East Station,"104.140947,30.628779",30.628779,104.140947,4.2
Longemont Hotel - Longyue Chinese Restaurant,Chengdu,30.629440,104.144592,141.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Chengdu East Station,"104.140947,30.628779",30.628779,104.140947,4.1
Huiyuan He Xian Restaurant (China Commercial Plaza Branch),Chengdu,30.609270,104.065852,153.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hefei South Station,"104.068469,30.606130",30.606130,104.068469,4.6
Chengdu Shuyuanxiang Private Cuisine Restaurant (Suning Plaza Branch),Chengdu,30.602165,104.066693,100.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Hefei South Station,"104.068469,30.606130",30.606130,104.068469,3.7
Tianfu Airport Cloud Enjoy Hotel · Buffet Restaurant,Chengdu,30.310654,104.443250,100.0,Food Service Related;Food Service Related,11:00,21:00,Tianfu Airport,"104.446518,30.308016",30.308016,104.446518,4.0
Chengdu Tianfu International Airport Security Checkpoint Outer Restaurant,Chengdu,30.311414,104.442460,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Tianfu Airport,"104.446518,30.308016",30.308016,104.446518,2.6
Chengdu Maoye JW Marriott Hotel · Table All-Day Dining Restaurant,Chengdu,30.656802,104.070345,201.0,Foreign Restaurant;Western Restaurant,17:30,21:30,Hanting Hotel (Chengdu Taikoo Li Chunxi Road Pedestrian Street Branch),"104.071766,30.657104",30.657104,104.071766,4.3
Chengdu Maoye JW Marriott Hotel · Marriott Chinese Restaurant,Chengdu,30.656857,104.070150,176.0,Food Service Related;Food Service Related,06:30,19:00,Hanting Hotel (Chengdu Taikoo Li Chunxi Road Pedestrian Street Branch),"104.071766,30.657104",30.657104,104.071766,4.7
Dicos Youth Road Restaurant,Chengdu,30.656125,104.073964,30.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Hanting Hotel (Chengdu Taikoo Li Chunxi Road Pedestrian Street Branch),"104.071766,30.657104",30.657104,104.071766,4.4
Guanjintai Garden Restaurant (People's Insurance Building Branch),Chengdu,30.656822,104.068943,107.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Hanting Hotel (Chengdu Taikoo Li Chunxi Road Pedestrian Street Branch),"104.071766,30.657104",30.657104,104.071766,4.1
Santing Mini Hotpot (Shangdu Fashion Plaza),Chengdu,30.656263,104.074694,39.0,Chinese Restaurant;Hot Pot,10:00,21:00,Hanting Hotel (Chengdu Taikoo Li Chunxi Road Pedestrian Street Branch),"104.071766,30.657104",30.657104,104.071766,3.9
Private Village Chef Old Cuisine Restaurant,Chengdu,30.674364,104.068315,49.0,Chinese Restaurant;Chinese Restaurant,10:00,21:30,Hanting Hotel (Chengdu Wenshu Monastery Metro Station Branch),"104.067744,30.673888",30.673888,104.067744,3.7
Western Region Yipin Tea Restaurant (Taiye · City Center Tower B Branch),Chengdu,30.671946,104.064760,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Hanting Hotel (Chengdu Wenshu Monastery Metro Station Branch),"104.067744,30.673888",30.673888,104.067744,2.8
Yuyuan · Zun Banquet,Chengdu,30.672819,104.071712,160.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Hanting Hotel (Chengdu Wenshu Monastery Metro Station Branch),"104.067744,30.673888",30.673888,104.067744,4.5
Wenshu Sichuan-Style Tea · Restaurant (Wenshu Monastery Branch),Chengdu,30.671925,104.071325,100.0,Food Service Related;Food Service Related,10:00,20:00,Hanting Hotel (Chengdu Wenshu Monastery Metro Station Branch),"104.067744,30.673888",30.673888,104.067744,3.9
Halal. West Encounter Yipin Restaurant (Qinglong Alley Main Store),Chengdu,30.671707,104.064233,64.0,Chinese Restaurant;西北菜|Chinese Restaurant;Halal Restaurant,11:00,21:00,Hanting Hotel (Chengdu Wenshu Monastery Metro Station Branch),"104.067744,30.673888",30.673888,104.067744,4.5
Gangjiu Tea Restaurant (New Convention Center Branch),Chengdu,30.552501,104.075475,54.0,Fast Food Restaurant;Tea Restaurant,10:00,21:00,Vienna International Hotel · Chengdu Global Center New Exhibition Center Branch,"104.077068,30.547706",30.547706,104.077068,4.3
Chino Restaurant (Tianfu Software Park Area A Branch),Chengdu,30.547744,104.071198,31.0,Casual Dining;Casual Dining,08:00,20:00,Vienna International Hotel · Chengdu Global Center New Exhibition Center Branch,"104.077068,30.547706",30.547706,104.077068,4.1
Qiaoyiqiao Unique Flavor Restaurant (Century City Branch),Chengdu,30.552864,104.075034,85.0,Chinese Restaurant;Chinese Restaurant,08:30,23:00,Vienna International Hotel · Chengdu Global Center New Exhibition Center Branch,"104.077068,30.547706",30.547706,104.077068,4.7
Chu Mansion,Chengdu,30.543705,104.072335,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Vienna International Hotel · Chengdu Global Center New Exhibition Center Branch,"104.077068,30.547706",30.547706,104.077068,4.2
